,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL
538,TATAMOTORS,Long Closed,2000-07-05,24.66,2000-07-11,25.11,2027.0,49991.611,912.15,1.825
539,TATAMOTORS,Long Closed,2000-11-27,17.06,2001-03-15,14.08,2931.0,49988.564,-8734.38,-17.473
540,TATAMOTORS,Long Closed,2001-05-14,14.41,2001-06-25,11.63,3469.0,49990.443,-9643.82,-19.291
541,TATAMOTORS,Long Closed,2001-08-03,13.41,2001-09-19,12.82,3727.0,49994.502,-2198.93,-4.398
542,TATAMOTORS,Long Closed,2001-10-26,15.74,2002-03-27,22.66,3176.0,49998.03,21977.92,43.958
543,TATAMOTORS,Long Closed,2002-05-07,25.68,2002-06-10,26.7,1947.0,49996.038,1985.94,3.972
544,TATAMOTORS,Long Closed,2002-06-17,29.8,2002-08-06,24.92,1677.0,49972.181,-8183.76,-16.377
545,TATAMOTORS,Long Closed,2002-09-20,25.08,2002-10-08,25.58,1993.0,49993.301,996.5,1.993
546,TATAMOTORS,Long Closed,2002-10-24,26.3,2003-01-27,30.26,1901.0,49998.768,7527.96,15.056
547,TATAMOTORS,Long Closed,2003-02-28,31.7,2003-03-10,29.68,1577.0,49984.121,-3185.54,-6.373
548,TATAMOTORS,Long Closed,2003-04-14,30.83,2003-05-02,29.03,1621.0,49980.881,-2917.8,-5.838
549,TATAMOTORS,Long Closed,2003-05-26,32.78,2004-03-19,86.62,1525.0,49987.084,82106.0,164.254
550,TATAMOTORS,Long Closed,2004-04-27,97.73,2004-05-13,80.94,511.0,49940.85,-8579.69,-17.18
551,TATAMOTORS,Long Closed,2004-07-27,80.48,2004-09-02,75.46,621.0,49981.091,-3117.42,-6.237
552,TATAMOTORS,Long Closed,2004-10-05,81.54,2005-02-01,96.77,613.0,49983.296,9335.99,18.678
553,TATAMOTORS,Long Closed,2005-05-25,85.24,2005-06-23,81.54,586.0,49949.052,-2168.2,-4.341
554,TATAMOTORS,Long Closed,2005-07-18,89.03,2005-11-09,95.8,561.0,49946.715,3797.97,7.604
555,TATAMOTORS,Long Closed,2005-12-02,110.17,2006-05-25,146.09,453.0,49906.301,16271.76,32.605
556,TATAMOTORS,Long Closed,2006-08-18,160.97,2006-11-10,154.26,310.0,49900.606,-2080.1,-4.168
557,TATAMOTORS,Long Closed,2006-12-22,162.24,2007-02-22,164.8,308.0,49971.167,788.48,1.578
558,TATAMOTORS,Long Closed,2007-06-08,129.9,2007-06-11,129.56,384.0,49880.373,-130.56,-0.262
559,TATAMOTORS,Long Closed,2007-07-18,143.72,2007-08-20,126.48,347.0,49871.862,-5982.28,-11.995
560,TATAMOTORS,Long Closed,2007-09-24,143.68,2007-11-19,133.57,347.0,49858.562,-3508.17,-7.036
561,TATAMOTORS,Long Closed,2007-12-31,142.57,2008-01-31,135.87,350.0,49900.608,-2345.0,-4.699
562,TATAMOTORS,Long Closed,2008-05-16,126.09,2008-06-05,103.68,396.0,49932.802,-8874.36,-17.773
563,TATAMOTORS,Long Closed,2008-09-01,83.36,2008-09-29,70.3,599.0,49932.224,-7822.94,-15.667
564,TATAMOTORS,Long Closed,2009-01-06,35.61,2009-02-05,25.98,1404.0,49993.725,-13520.52,-27.044
565,TATAMOTORS,Long Closed,2009-03-23,32.65,2009-07-13,53.21,1531.0,49986.843,31477.36,62.971
566,TATAMOTORS,Long Closed,2009-08-05,87.26,2010-02-11,133.57,572.0,49915.012,26489.32,53.069
567,TATAMOTORS,Long Closed,2010-03-18,154.88,2010-05-27,139.92,322.0,49870.964,-4817.12,-9.659
568,TATAMOTORS,Long Closed,2010-07-07,151.67,2011-01-18,234.48,329.0,49900.469,27244.49,54.598
569,TATAMOTORS,Long Closed,2011-03-30,245.66,2011-05-20,227.8,203.0,49869.994,-3625.58,-7.27
570,TATAMOTORS,Long Closed,2011-10-14,172.15,2011-12-16,173.54,290.0,49924.512,403.1,0.807
571,TATAMOTORS,Long Closed,2012-01-09,199.71,2012-05-28,267.83,250.0,49926.983,17030.0,34.11
572,TATAMOTORS,Long Closed,2012-08-29,234.48,2012-11-26,259.22,213.0,49945.286,5269.62,10.551
573,TATAMOTORS,Long Closed,2012-12-03,270.1,2013-02-13,305.77,185.0,49969.032,6598.95,13.206
574,TATAMOTORS,Long Closed,2013-05-10,296.92,2013-06-28,272.28,168.0,49881.768,-4139.52,-8.299
575,TATAMOTORS,Long Closed,2013-08-16,314.13,2013-12-27,367.16,159.0,49946.773,8431.77,16.882
576,TATAMOTORS,Long Closed,2014-02-26,392.89,2014-10-28,500.33,127.0,49896.509,13644.88,27.346
577,TATAMOTORS,Long Closed,2014-11-17,514.48,2014-12-19,485.1,97.0,49904.724,-2849.86,-5.711
578,TATAMOTORS,Long Closed,2015-01-23,568.9,2015-03-25,529.82,87.0,49494.127,-3399.96,-6.869
579,TATAMOTORS,Long Closed,2015-10-26,386.45,2015-12-29,392.9,129.0,49852.052,832.05,1.669
580,TATAMOTORS,Long Closed,2016-03-21,367.25,2016-11-08,518.4,136.0,49946.0,20556.4,41.157
581,TATAMOTORS,Long Closed,2017-01-11,520.25,2017-02-27,464.0,96.0,49944.0,-5400.0,-10.812
582,TATAMOTORS,Long Closed,2017-06-07,462.55,2017-07-05,428.9,108.0,49955.399,-3634.2,-7.275
583,TATAMOTORS,Long Closed,2017-10-09,424.0,2017-12-05,404.55,117.0,49608.0,-2275.65,-4.587
584,TATAMOTORS,Long Closed,2018-01-10,438.0,2018-02-06,363.0,114.0,49932.0,-8550.0,-17.123
585,TATAMOTORS,Long Closed,2018-09-12,268.2,2018-10-01,225.0,186.0,49885.202,-8035.2,-16.107
586,TATAMOTORS,Long Closed,2019-01-18,185.65,2019-02-18,162.8,269.0,49939.848,-6146.65,-12.308
587,TATAMOTORS,Long Closed,2019-03-15,180.2,2019-05-23,182.85,277.0,49915.399,734.05,1.471
588,TATAMOTORS,Long Closed,2019-10-10,119.3,2020-02-14,172.0,419.0,49986.701,22081.3,44.174
589,TATAMOTORS,Long Closed,2020-05-21,83.1,2020-10-19,129.8,601.0,49943.099,28066.7,56.197
590,TATAMOTORS,Long Closed,2020-11-17,152.5,2021-04-06,306.15,327.0,49867.5,50243.55,100.754
591,TATAMOTORS,Long Closed,2021-05-25,315.55,2021-07-19,308.95,158.0,49856.898,-1042.8,-2.092
592,TATAMOTORS,Long Closed,2021-09-24,325.1,2021-12-21,452.1,153.0,49740.301,19431.0,39.065
